length,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"2019""
24,422,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1553,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9222,6454,527,48,42,91,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,33437,25121,2840,717,912,376,599,0,1012,1583,138,0,0,0,0,0,0,0,0,0,0,0,0
28,69291,53905,9521,3875,3214,2266,3516,254,7417,11301,1224,160,267,285,742,0,0,0,0,0,0,0,0
29,81193,66854,13037,11083,11024,8050,10162,2416,15187,27559,9655,6810,2139,7243,12657,872,0,0,0,160,0,0,0
30,66863,65643,22383,13567,14510,10798,15975,24970,30250,45546,34795,32376,40778,51541,43535,12395,1587,419,35,1837,16,0,0
31,87730,87862,34174,17250,17423,11144,16481,42102,37321,46655,40351,50081,56956,58976,42666,22530,14226,10356,4235,10829,744,0,152
32,92080,91950,33187,24756,16279,9751,13833,41689,38912,42659,42431,44486,53186,49056,32847,24634,21956,22086,15138,13721,2788,977,1239
33,82039,81824,30338,35548,17568,9911,10740,35941,40578,44285,38046,41076,55497,46500,23236,20577,19689,24589,17578,11210,6684,1027,4606
34,76403,65017,31815,47007,23101,10754,9659,23174,34685,45154,29099,34875,52562,49968,18902,13865,11849,21134,16775,10313,5985,1112,2950
35,60563,54316,33462,39489,25642,10300,11266,15328,27854,36347,29956,32323,39843,45848,16793,9957,9851,17770,13143,12030,6032,955,2367
36,53397,48897,27354,39188,24298,12138,11984,12422,20780,27904,28656,28058,43436,35848,14382,7574,6097,12222,12818,10409,5780,975,2207
37,47077,37776,23781,32770,19872,13898,11929,10773,13715,21358,28189,25709,41653,29149,12235,6695,4458,9464,12467,8507,5575,733,2027
38,39281,25282,19012,20981,15883,11445,11038,9256,11277,16253,22533,21947,32605,23822,10273,5241,3601,9068,9653,5207,3696,221,1633
39,35388,16991,12886,17648,12435,10810,11387,9018,10826,12827,19345,19282,38471,17913,9377,4559,2108,7035,9922,4243,1950,533,1484
40,27000,14200,12730,12791,9289,9992,11200,9594,11123,9970,14371,16757,23755,9705,8351,3877,1781,6381,7430,5022,2254,489,1027
41,26675,11656,10547,11293,7951,9026,11271,9860,11277,11292,11485,14082,21402,9823,6492,3020,1425,5617,8387,4342,2411,422,724
42,21710,10953,8008,10942,7139,7356,9828,9606,11467,10219,9408,13879,18861,6729,5593,2997,1004,4229,5824,4233,2198,390,733
43,24156,10199,6437,6968,6695,6145,10774,9702,11263,10769,10981,11566,16407,6123,4560,2565,780,3397,6346,3360,1436,302,473
44,23319,11174,5561,5604,4683,5570,8870,7896,11159,10127,10072,9824,13002,5520,4446,2091,642,2467,4980,2020,758,158,385
45,25280,10784,6289,4726,5114,4595,7420,8301,10151,9202,8868,11945,15344,6070,4773,2067,451,2222,4061,2550,649,164,290
46,22029,9572,6109,4587,4691,3746,7025,5174,9676,8489,8627,12458,18180,6717,5683,2598,472,2185,4375,2147,763,138,234
47,27360,7425,4709,4099,4465,3115,5673,4724,8828,6555,8864,11210,16966,6007,5146,2723,332,2061,3917,1911,698,130,207
48,18901,6818,5277,3502,3619,3138,4672,4103,6296,5094,8176,11286,14223,5280,5246,2560,322,1766,4314,1910,460,97,176
49,18484,5441,3409,3486,3576,2513,3560,2813,5626,3939,6264,8976,14441,4859,5459,2564,342,1764,3184,1638,411,79,199
50,10092,3306,2809,3569,3062,3359,3890,3714,5813,4893,7466,8737,16525,6823,5963,3328,344,2130,4311,1705,369,104,114
51,9356,1734,1698,1674,1705,1454,2210,1906,2180,2940,3669,5403,8546,3163,3491,1939,214,1144,2298,880,295,39,90
52,4362,988,1402,1415,1316,1416,1580,1575,1533,1321,2630,3820,6204,1647,2167,929,129,905,1918,402,152,30,81
53,2992,807,618,581,859,741,964,849,1398,795,1776,3356,4696,1539,2314,678,77,929,1114,410,106,26,18
54,1405,376,221,402,236,764,706,381,973,748,1319,1453,3420,1088,1010,600,53,556,852,145,47,14,25
55,1001,145,57,177,174,288,259,301,453,554,751,1089,1455,780,781,200,68,435,443,26,18,7,12
56,330,13,69,10,79,90,49,107,212,161,532,788,1032,387,170,127,24,149,332,105,14,0,8
57,313,3,5,0,0,20,2,24,0,37,291,171,80,59,181,46,17,109,107,37,0,0,9
58,6,3,0,0,0,11,44,49,50,50,146,89,78,75,148,82,0,36,63,8,9,0,0
59,0,0,0,0,0,0,0,0,0,31,12,0,32,67,35,0,4,17,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,23,45,0,0,0,0,0,0,0,0,2
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,17,0,0,0,0
"
24,422,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1553,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9222,6454,527,48,42,91,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,33437,25121,2840,717,912,376,599,0,1012,1583,138,0,0,0,0,0,0,0,0,0,0,0,0
28,69291,53905,9521,3875,3214,2266,3516,254,7417,11301,1224,160,267,285,742,0,0,0,0,0,0,0,0
29,81193,66854,13037,11083,11024,8050,10162,2416,15187,27559,9655,6810,2139,7243,12657,872,0,0,0,160,0,0,0
30,66863,65643,22383,13567,14510,10798,15975,24970,30250,45546,34795,32376,40778,51541,43535,12395,1587,419,35,1837,16,0,0
31,87730,87862,34174,17250,17423,11144,16481,42102,37321,46655,40351,50081,56956,58976,42666,22530,14226,10356,4235,10829,744,0,152
32,92080,91950,33187,24756,16279,9751,13833,41689,38912,42659,42431,44486,53186,49056,32847,24634,21956,22086,15138,13721,2788,977,1239
33,82039,81824,30338,35548,17568,9911,10740,35941,40578,44285,38046,41076,55497,46500,23236,20577,19689,24589,17578,11210,6684,1027,4606
34,76403,65017,31815,47007,23101,10754,9659,23174,34685,45154,29099,34875,52562,49968,18902,13865,11849,21134,16775,10313,5985,1112,2950
35,60563,54316,33462,39489,25642,10300,11266,15328,27854,36347,29956,32323,39843,45848,16793,9957,9851,17770,13143,12030,6032,955,2367
36,53397,48897,27354,39188,24298,12138,11984,12422,20780,27904,28656,28058,43436,35848,14382,7574,6097,12222,12818,10409,5780,975,2207
37,47077,37776,23781,32770,19872,13898,11929,10773,13715,21358,28189,25709,41653,29149,12235,6695,4458,9464,12467,8507,5575,733,2027
38,39281,25282,19012,20981,15883,11445,11038,9256,11277,16253,22533,21947,32605,23822,10273,5241,3601,9068,9653,5207,3696,221,1633
39,35388,16991,12886,17648,12435,10810,11387,9018,10826,12827,19345,19282,38471,17913,9377,4559,2108,7035,9922,4243,1950,533,1484
40,27000,14200,12730,12791,9289,9992,11200,9594,11123,9970,14371,16757,23755,9705,8351,3877,1781,6381,7430,5022,2254,489,1027
41,26675,11656,10547,11293,7951,9026,11271,9860,11277,11292,11485,14082,21402,9823,6492,3020,1425,5617,8387,4342,2411,422,724
42,21710,10953,8008,10942,7139,7356,9828,9606,11467,10219,9408,13879,18861,6729,5593,2997,1004,4229,5824,4233,2198,390,733
43,24156,10199,6437,6968,6695,6145,10774,9702,11263,10769,10981,11566,16407,6123,4560,2565,780,3397,6346,3360,1436,302,473
44,23319,11174,5561,5604,4683,5570,8870,7896,11159,10127,10072,9824,13002,5520,4446,2091,642,2467,4980,2020,758,158,385
45,25280,10784,6289,4726,5114,4595,7420,8301,10151,9202,8868,11945,15344,6070,4773,2067,451,2222,4061,2550,649,164,290
46,22029,9572,6109,4587,4691,3746,7025,5174,9676,8489,8627,12458,18180,6717,5683,2598,472,2185,4375,2147,763,138,234
47,27360,7425,4709,4099,4465,3115,5673,4724,8828,6555,8864,11210,16966,6007,5146,2723,332,2061,3917,1911,698,130,207
48,18901,6818,5277,3502,3619,3138,4672,4103,6296,5094,8176,11286,14223,5280,5246,2560,322,1766,4314,1910,460,97,176
49,18484,5441,3409,3486,3576,2513,3560,2813,5626,3939,6264,8976,14441,4859,5459,2564,342,1764,3184,1638,411,79,199
50,10092,3306,2809,3569,3062,3359,3890,3714,5813,4893,7466,8737,16525,6823,5963,3328,344,2130,4311,1705,369,104,114
51,9356,1734,1698,1674,1705,1454,2210,1906,2180,2940,3669,5403,8546,3163,3491,1939,214,1144,2298,880,295,39,90
52,4362,988,1402,1415,1316,1416,1580,1575,1533,1321,2630,3820,6204,1647,2167,929,129,905,1918,402,152,30,81
53,2992,807,618,581,859,741,964,849,1398,795,1776,3356,4696,1539,2314,678,77,929,1114,410,106,26,18
54,1405,376,221,402,236,764,706,381,973,748,1319,1453,3420,1088,1010,600,53,556,852,145,47,14,25
55,1001,145,57,177,174,288,259,301,453,554,751,1089,1455,780,781,200,68,435,443,26,18,7,12
56,330,13,69,10,79,90,49,107,212,161,532,788,1032,387,170,127,24,149,332,105,14,0,8
57,313,3,5,0,0,20,2,24,0,37,291,171,80,59,181,46,17,109,107,37,0,0,9
58,6,3,0,0,0,11,44,49,50,50,146,89,78,75,148,82,0,36,63,8,9,0,0
59,0,0,0,0,0,0,0,0,0,31,12,0,32,67,35,0,4,17,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,23,45,0,0,0,0,0,0,0,0,2
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,17,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
