MeanLength,2010,2011,2012,2013,2014,2015,2016,2017,2018
15.5,0,0,0,0,0,0,0,1.13,0
16.5,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,2.542,0
18.5,0,0,0,0,0,0,0,3.672,0
19.5,0,0,0,0,0,4.862,0,6.215,0
20.5,0,0,0,0,0,4.862,0,12.994,0
21.5,0,0,0,0,0,0,0,8.192,0
22.5,0,0,0,0,0,0,0,13.277,0
23.5,0,0,0,0,0,4.862,0,6.215,0
24.5,0,0,0,0,0,17.648,0,7.062,0
25.5,0,0,0,0,0,13.938,0,2.542,0
26.5,0,0,0,0,0,30.289,0,3.722,0
27.5,0,2.271,0,0,0,33.653,0.294,3.048,0.478
28.5,4.476,0,0,0,0,92.621,9.27,4.035,3.05
29.5,0,1.644,0,0,0,41.229,0.385,4.467,1.884
30.5,28.9,3.289,0,0.838,0,82.149,4.974,14.836,23.076
31.5,6.928,3.289,0,0,0,20.942,8.259,19.78,16.59
32.5,96.24,1.644,0,0,9.209,45.581,39.01,27.112,25.607
33.5,107.826,1.785,0,0,55.253,58.667,23.98,21.14,31.712
34.5,111.842,0,4.511,0,32.231,28.054,64.379,21.103,21.188
35.5,94.05,3.57,0,0.798,51.049,30.497,46.167,15.945,8.627
36.5,135.983,3.563,0,2.913,36.835,20.888,80.891,29.332,23.34
37.5,117.314,1.644,3.048,13.111,40.427,37.606,53.037,45.839,14.816
38.5,62.735,7,9.022,10.922,11.165,47.974,79.509,15.941,6.988
39.5,142.703,13.86,4.511,11.271,4.604,42.448,54.239,25.419,6.727
40.5,95.325,7.141,0,3.121,25.533,51.737,33.736,27.623,8.588
41.5,47.359,14.281,0.816,19.96,8.581,40.511,107.969,39.963,4.538
42.5,31.293,10.563,7.023,24.412,1.049,46.804,56.053,45.266,5.233
43.5,37.52,12.215,14.541,26.269,6.625,40.834,94.732,29.831,4.785
44.5,44.487,19.042,15.846,18.08,3.434,51.475,50.99,63.694,8.086
45.5,21.397,17.337,17.989,25.919,22.545,35.77,44.773,42.711,3.459
46.5,36.338,21.39,11.011,33.447,18.293,42.339,75.031,17.646,11.866
47.5,27.795,32.508,17.791,32.567,12.891,18.739,52.222,26.958,4.747
48.5,18.912,25.539,27.645,56.778,28.075,29.492,73.025,25.719,11.538
49.5,20.644,40.801,36.437,47.605,21.819,16.447,50.519,16.514,20.86
50.5,17.028,42.597,18.436,31.461,8.6,33.383,33.607,16.695,36.635
51.5,11.541,35.327,8.931,57.634,22.132,16.341,20.657,5.361,2.968
52.5,14.822,58.191,14.815,43.02,20.574,30.809,22.119,20.324,25.355
53.5,4.736,69.614,17.443,32.257,26.928,30.01,37.758,15.185,27.764
54.5,10.207,71.887,24.155,40.407,31.652,19.174,25.794,11.736,13.944
55.5,8.678,63.188,24.014,34.735,17.07,15.781,14.743,18.952,28.537
56.5,11.136,58.573,33.543,28.847,36.813,15.323,18.27,12.071,25.102
57.5,6.053,48.546,56.359,23.64,37.388,19.073,14.696,6.632,19.863
58.5,9.837,40.177,21.561,36.851,34.961,16.976,21.219,38.805,48.608
59.5,14.576,13.134,23.645,16.931,39.662,17.259,9.609,17.981,61.271
60.5,8.744,38.748,23.78,14.905,64.401,16.175,20.57,24.349,24.478
61.5,9.842,35.01,14.918,11.185,27.135,16.233,4.95,6.351,15.478
62.5,3.085,33.538,20.488,4.128,44.053,8.699,4.43,14.156,38.911
63.5,10.589,5.71,24.946,12.863,37.268,14.185,7.945,9.688,0.664
64.5,14.599,10.784,22.629,13.699,7.38,9.306,7.116,17.647,13.413
65.5,20.107,16.926,8.188,13.126,12.294,15.023,3.128,17.652,21.232
66.5,16.545,3.24,24.896,11.717,24.676,12.773,5.35,3.313,6.227
67.5,8.925,0,12.695,11.454,21.219,4.534,4.481,3.742,19.42
68.5,13.91,3.347,14.927,4.295,12.293,6.765,5.039,13.898,5.731
69.5,2.938,3.43,4.285,12.995,26.212,9.879,4.885,13.006,0.837
70.5,4.194,11.701,10.784,12.538,2.608,9.549,2.54,5.02,15.125
71.5,3.09,12.049,5.824,5.989,5.035,2.684,4.142,6.165,5.927
72.5,3.627,9.367,1.96,16.198,17.833,5.174,4.548,15.224,14.739
73.5,6.036,1.785,5.662,10.534,11.317,14.359,4.383,4.562,4.887
74.5,3.085,1.919,2.614,15.038,2.622,4.844,2.732,2.673,1.622
75.5,1.498,5.074,5.009,12.745,7.288,1.707,2.293,1.649,0.47
76.5,0.522,1.644,6.642,2.702,0,0.854,0,6.485,4.65
77.5,2.938,0,1.307,1.142,3.592,0.854,3.385,0.824,2.488
78.5,0,1.785,1.307,0,2.608,0.854,1.686,1.694,5.67
79.5,1.646,2.28,1.96,0,2.608,0,1.383,4.935,0.881
80.5,0,1.644,1.307,0.207,0.801,1.067,0,0,15.262
81.5,3.085,0,2.614,0.935,0.401,0,2.698,2.9,0.722
82.5,0,1.644,1.307,0,0,0,0,8.798,3.916
83.5,0,1.919,1.307,0,0,0.854,0,0.824,0.47
84.5,1.44,0,0,0.207,0,0,0,0.414,0.94
85.5,1.092,3.563,0,2.32,0,0,0,0,0.235
86.5,0,3.347,0,0.901,0,2.963,0,0,0.235
87.5,0.936,0,3.631,0,1.122,0,0,1.238,0.235
88.5,0,0,0,0,0,0,0,3.175,0
89.5,0,0,0,0,0,0,0,0,0.235
90.5,0,0,0,0,0,0,0,0.045,0
91.5,0,4.989,0,0.897,0,0,0,0,0
92.5,0,0,0.653,0.901,0,0,0,0.414,0
93.5,0,0,0,0,0,0,0,0,0
94.5,0,0,0,0,0,0,0,0,0
95.5,0,0,0,0,0,0,0,0,0
96.5,0,0,0,0,0,0,0,0,0
97.5,0,0,0,2.182,0,0,0,0,0
